frame,time,offset,recv time,send,the,raw
39,0.086519122,0.002165437,1641861530,1641861530,0.084369898,2.815
40,0.07767415,0.002125263,1641861530,1641861530,0.075560093,2.815
41,0.084200025,0.002147317,1641861530,1641861530,0.082060099,2.815
42,0.076447845,0.002128959,1641861530,1641861530,0.074330091,2.815
43,0.075460315,0.002206206,1641861530,1641861530,0.073270082,2.815
44,0.074361324,0.002372742,1641861531,1641861530,0.072000027,2.815
45,0.075883269,0.0020715,1641861531,1641861531,0.073829889,2.815
46,0.088254571,0.00205195,1641861531,1641861531,0.086220026,2.815
47,0.086255431,0.002123475,1641861531,1641861531,0.084149837,2.815
48,0.074809313,0.002124786,1641861531,1641861531,0.07269001,2.815
49,0.080664754,0.002150655,1641861531,1641861531,0.078530073,2.815
50,0.07281971,0.001988649,1641861531,1641861531,0.070839882,2.815
51,0.074743271,0.002097845,1641861531,1641861531,0.072659969,2.815
52,0.073358059,0.002165794,1641861531,1641861531,0.071199894,2.815
53,0.083521366,0.002146006,1641861531,1641861531,0.081380129,2.815
54,0.074165821,0.002038956,1641861531,1641861531,0.072139978,2.815
55,0.078899503,0.002287507,1641861531,1641861531,0.076629877,2.815
56,0.071361661,0.001927733,1641861531,1641861531,0.06945014,2.815
57,0.074463606,0.002118826,1641861531,1641861531,0.072350025,2.815
58,0.074390054,0.002075076,1641861532,1641861531,0.072329998,2.815
59,0.078668833,0.002144575,1641861532,1641861532,0.076530218,2.815
60,0.0876863,0.003043175,1641861532,1641861532,0.084660053,2.815
61,0.07424736,0.00209403,1641861532,1641861532,0.072160006,2.815
62,0.071808696,0.002045512,1641861532,1641861532,0.069780111,2.815
63,0.084138036,0.002139926,1641861532,1641861532,0.082010031,2.815
64,0.07398355,0.0020715,1641861532,1641861532,0.07193017,2.815
65,0.077971578,0.002325177,1641861532,1641861532,0.07565999,2.815
66,0.076189518,0.002046824,1641861532,1641861532,0.074149847,2.815
67,0.08608675,0.002136469,1641861532,1641861532,0.083960056,2.815
68,0.077651381,0.002097964,1641861532,1641861532,0.075570107,2.815
69,0.076122522,0.002114534,1641861532,1641861532,0.074029922,2.815
70,0.075392842,0.002154469,1641861532,1641861532,0.073240042,2.815
71,0.084987164,0.002084494,1641861533,1641861532,0.082910061,2.815
72,0.077265978,0.002157688,1641861533,1641861533,0.075119972,2.815
73,0.072542906,0.002196312,1641861533,1641861533,0.070359945,2.815
74,0.087380528,0.002123237,1641861533,1641861533,0.085260153,2.815
75,0.075989246,0.00201726,1641861533,1641861533,0.073989868,2.815
76,0.0726372,0.002231002,1641861533,1641861533,0.070420027,2.815
77,0.085781574,0.002103567,1641861533,1641861533,0.083689928,2.815
78,0.086299419,0.002071857,1641861533,1641861533,0.08423996,2.815
79,0.073949814,0.002051115,1641861533,1641861533,0.071909904,2.815
80,0.084632277,0.002083421,1641861533,1641861533,0.082559824,2.815
81,0.085378766,0.002141833,1641861533,1641861533,0.083249807,2.815
82,0.085543871,0.002088547,1641861533,1641861533,0.083470106,2.815
83,0.078146696,0.002118111,1641861534,1641861533,0.076039791,2.815
84,0.074070573,0.002131343,1641861534,1641861534,0.071949959,2.815
85,0.094501853,0.002197385,1641861534,1641861534,0.092309952,2.815
86,0.076033354,0.004347324,1641861534,1641861534,0.071700096,2.815
87,0.076170087,0.002111793,1641861534,1641861534,0.074069977,2.815
88,0.072244644,0.002126694,1641861534,1641861534,0.07013011,2.815
89,0.085226417,0.002015948,1641861534,1641861534,0.083220005,2.815
90,0.078324199,0.002201438,1641861534,1641861534,0.076130152,2.815
91,0.07628572,0.002292037,1641861534,1641861534,0.07400012,2.815
92,0.079863191,0.001999736,1641861534,1641861534,0.077879906,2.815
93,0.076371789,0.00195682,1641861534,1641861534,0.074429989,2.815
94,0.074450731,0.002120733,1641861534,1641861534,0.072340012,2.815
95,0.091650844,0.002127051,1641861534,1641861534,0.089540005,2.815
96,0.073785186,0.001972556,1641861535,1641861534,0.071820021,2.815
97,0.073907256,0.002150655,1641861535,1641861535,0.071759939,2.815
98,0.07215786,0.002063513,1641861535,1641861535,0.070109844,2.815
99,0.081388116,0.002088666,1641861535,1641861535,0.07930994,2.815
100,0.075098515,0.002242088,1641861535,1641861535,0.072870016,2.815
101,0.073559642,0.002123237,1641861535,1641861535,0.071449995,2.815
102,0.073795199,0.001883388,1641861535,1641861535,0.071919918,2.815
103,0.063010812,0.001933932,1641861535,1641861535,0.061089993,2.815
104,0.072940588,0.002114058,1641861535,1641861535,0.07084012,2.815
105,0.092265487,0.002092004,1641861535,1641861535,0.090180159,2.815
106,0.074729681,0.002025127,1641861535,1641861535,0.072720051,2.815
107,0.073927402,0.00223875,1641861535,1641861535,0.071689844,2.815
108,0.075675726,0.002141953,1641861535,1641861535,0.073549986,2.815
109,0.078480721,0.002011538,1641861535,1641861535,0.076479912,2.815
110,0.078562856,0.001975417,1641861536,1641861535,0.076600075,2.815
111,0.074963331,0.002183437,1641861536,1641861536,0.072789907,2.815
112,0.077103853,0.002095938,1641861536,1641861536,0.075020075,2.815
113,0.072422624,0.002087951,1641861536,1641861536,0.07035017,2.815
114,0.073072076,0.002359509,1641861536,1641861536,0.070719957,2.815
115,0.073896289,0.002077699,1641861536,1641861536,0.071830034,2.815
116,0.074966311,0.002020717,1641861536,1641861536,0.0729599,2.815
117,0.091538668,0.001973391,1641861536,1641861536,0.089570045,2.815
118,0.077180266,0.002106071,1641861536,1641861536,0.075089931,2.815
119,0.073903918,0.002103209,1641861536,1641861536,0.071820021,2.815
120,0.074728251,0.00203228,1641861536,1641861536,0.072710037,2.815
121,0.078942299,0.002230644,1641861536,1641861536,0.076730013,2.815
122,0.07339704,0.002130866,1641861536,1641861536,0.071280003,2.815
123,0.079316258,0.002099156,1641861537,1641861536,0.077229977,2.815
124,0.078171968,0.002146959,1641861537,1641861537,0.07604003,2.815
125,0.07640481,0.001979828,1641861537,1641861537,0.074440002,2.815
126,0.073785543,0.002119541,1641861537,1641861537,0.071680069,2.815
127,0.075779796,0.002041459,1641861537,1641861537,0.073750019,2.815
128,0.08681643,0.001994014,1641861537,1641861537,0.084830046,2.815
129,0.073208213,0.001904607,1641861537,1641861537,0.071310043,2.815
130,0.072259426,0.002087355,1641861537,1641861537,0.070179939,2.815
131,0.075382948,0.002099514,1641861537,1641861537,0.073289871,2.815
132,0.073357344,0.002025604,1641861537,1641861537,0.071350098,2.815
133,0.073377371,0.002087116,1641861537,1641861537,0.07130003,2.815
134,0.073463082,0.002188563,1641861537,1641861537,0.071280003,2.815
135,0.085716486,0.002134562,1641861537,1641861537,0.083590031,2.815
136,0.074192762,0.002132416,1641861538,1641861537,0.072070122,2.815
137,0.071028471,0.002207518,1641861538,1641861538,0.068830013,2.815
138,0.07357502,0.002055645,1641861538,1641861538,0.071530104,2.815
139,0.072568655,0.002065659,1641861538,1641861538,0.070509911,2.815
140,0.071864724,0.001945853,1641861538,1641861538,0.069930077,2.815
141,0.073755741,0.002092123,1641861538,1641861538,0.071670055,2.815
142,0.07237339,0.002016783,1641861538,1641861538,0.070360184,2.815
143,0.084343433,0.002012968,1641861538,1641861538,0.082340002,2.815
144,0.076142311,0.002126932,1641861538,1641861538,0.074019909,2.815
145,0.091642022,0.002162337,1641861538,1641861538,0.089490175,2.815
146,0.080185771,0.0020715,1641861538,1641861538,0.078130007,2.815
147,0.087840676,0.0022825,1641861538,1641861538,0.085569859,2.815
148,0.077175856,0.002033472,1641861538,1641861538,0.075150013,2.815
149,0.074673891,0.002159357,1641861539,1641861538,0.072520018,2.815
150,0.074441791,0.001974702,1641861539,1641861539,0.07246995,2.815
151,0.084376812,0.002099514,1641861539,1641861539,0.082290173,2.815
152,0.101717353,0.002093434,1641861539,1641861539,0.099630117,2.815
153,0.078593016,0.002180815,1641861539,1641861539,0.076420069,2.815
154,0.0750072,0.002224445,1641861539,1641861539,0.072789907,2.815
155,0.073976159,0.002126336,1641861539,1641861539,0.071870089,2.815
156,0.08871007,0.00195837,1641861539,1641861539,0.086760044,2.815
157,0.078529477,0.001954675,1641861539,1641861539,0.076590061,2.815
158,0.083943725,0.002069592,1641861539,1641861539,0.081890106,2.815
159,0.075457335,0.002171755,1641861539,1641861539,0.073299885,2.815
160,0.09064126,0.00224328,1641861539,1641861539,0.088409901,2.815
161,0.0744946,0.002023935,1641861539,1641861539,0.072479963,2.815
162,0.073962927,0.002088308,1641861540,1641861539,0.071890116,2.815
163,0.072999001,0.002151489,1641861540,1641861540,0.070860147,2.815
164,0.08256948,0.002116799,1641861540,1641861540,0.080470085,2.815
165,0.087854028,0.002159476,1641861540,1641861540,0.085700035,2.815
166,0.086262584,0.002197146,1641861540,1641861540,0.084069967,2.815
167,0.085782766,0.002029419,1641861540,1641861540,0.083760023,2.815
168,0.088191271,0.002052784,1641861540,1641861540,0.086149931,2.815
169,0.073510528,0.00211513,1641861540,1641861540,0.071410179,2.815
170,0.106914759,0.002111912,1641861540,1641861540,0.104819775,2.815
171,0.081955314,0.00199759,1641861540,1641861540,0.079970121,2.815
172,0.075125575,0.0022403,1641861540,1641861540,0.072900057,2.815
173,0.085825443,0.002162695,1641861540,1641861540,0.083669901,2.815
174,0.084324718,0.002129197,1641861541,1641861540,0.08220005,2.815
175,0.079871655,0.002258778,1641861541,1641861541,0.077620029,2.815
176,0.073821545,0.0020926,1641861541,1641861541,0.071739912,2.815
177,0.075022936,0.002112627,1641861541,1641861541,0.072920084,2.815
178,0.085337043,0.002056003,1641861541,1641861541,0.083289862,2.815
179,0.090345263,0.00209415,1641861541,1641861541,0.088269949,2.815
180,0.086395264,0.002191067,1641861541,1641861541,0.084220171,2.815
181,0.088307619,0.002196074,1641861541,1641861541,0.086129904,2.815
182,0.081621885,0.0022223,1641861541,1641861541,0.079410076,2.815
183,0.090110779,0.002005339,1641861541,1641861541,0.088119984,2.815
184,0.085755825,0.002000093,1641861541,1641861541,0.083770037,2.815
185,0.072776556,0.00223279,1641861541,1641861541,0.070559978,2.815
186,0.089674473,0.002069235,1641861542,1641861541,0.08762002,2.815
187,0.080099583,0.002111912,1641861542,1641861542,0.078000069,2.815
188,0.072782159,0.002138734,1641861542,1641861542,0.070649862,2.815
189,0.098501801,0.002122045,1641861542,1641861542,0.096390009,2.815
190,0.085599184,0.001966476,1641861542,1641861542,0.083649874,2.815
191,0.085012078,0.002196431,1641861542,1641861542,0.082829952,2.815
192,0.085343957,0.002179027,1641861542,1641861542,0.083179951,2.815
193,0.087906122,0.002164841,1641861542,1641861542,0.085750103,2.815
194,0.073204994,0.002145052,1641861542,1641861542,0.071070194,2.815
195,0.074471354,0.002062678,1641861542,1641861542,0.072430134,2.815
196,0.085739374,0.001800537,1641861542,1641861542,0.083950043,2.815
197,0.086502075,0.002052784,1641861542,1641861542,0.08446002,2.815
198,0.073146105,0.002137661,1641861543,1641861542,0.071019888,2.815
199,0.084393382,0.002069116,1641861543,1641861543,0.082340002,2.815
200,0.072851896,0.002017021,1641861543,1641861543,0.070850134,2.815
201,0.083224535,0.002090693,1641861543,1641861543,0.081149817,2.815
202,0.074743867,0.002097249,1641861543,1641861543,0.072659969,2.815
203,0.07517314,0.002221107,1641861543,1641861543,0.072969913,2.815
204,0.074479222,0.00216639,1641861543,1641861543,0.072319984,2.815
205,0.073238492,0.002091765,1641861543,1641861543,0.07115984,2.815
206,0.079956651,0.002012849,1641861543,1641861543,0.077960014,2.815
207,0.072810173,0.001827002,1641861543,1641861543,0.070990086,2.815
208,0.073083162,0.00206542,1641861543,1641861543,0.071029902,2.815
209,0.075335622,0.002004743,1641861543,1641861543,0.073340178,2.815
210,0.097334504,0.002029538,1641861543,1641861543,0.095309973,2.815
211,0.07410562,0.001985431,1641861544,1641861543,0.072129965,2.815
212,0.08342886,0.002104759,1641861544,1641861544,0.081340075,2.815
213,0.072975039,0.002072215,1641861544,1641861544,0.070919991,2.815
214,0.084699869,0.002074242,1641861544,1641861544,0.082640171,2.815
215,0.083255172,0.002044559,1641861544,1641861544,0.081229925,2.815
216,0.081927776,0.002089024,1641861544,1641861544,0.079849958,2.815
217,0.084002733,0.001800776,1641861544,1641861544,0.082220078,2.815
218,0.096714497,0.002038717,1641861544,1641861544,0.094689846,2.815
219,0.083800554,0.002141953,1641861544,1641861544,0.081670046,2.815
220,0.072701573,0.002254128,1641861544,1641861544,0.070470095,2.815
221,0.077602744,0.001879096,1641861544,1641861544,0.075740099,2.815
222,0.076538563,0.002076626,1641861544,1641861544,0.074480057,2.815
223,0.084937215,0.002142072,1641861544,1641861544,0.082809925,2.815
224,0.081276894,0.001950741,1641861545,1641861544,0.079339981,2.815
225,0.092049837,0.002090216,1641861545,1641861545,0.089969873,2.815
226,0.086065054,0.002025843,1641861545,1641861545,0.08404994,2.815
227,0.084391236,0.002054334,1641861545,1641861545,0.082350016,2.815
228,0.073747873,0.002118587,1641861545,1641861545,0.071640015,2.815
229,0.080110431,0.001857162,1641861545,1641861545,0.078270197,2.815
230,0.073328018,0.002141476,1641861545,1641861545,0.071199894,2.815
231,0.081011176,0.002050281,1641861545,1641861545,0.078969955,2.815
232,0.085582256,0.002053499,1641861545,1641861545,0.083539963,2.815
233,0.073826075,0.002113104,1641861545,1641861545,0.071719885,2.815
234,0.080063224,0.002140164,1641861545,1641861545,0.077939987,2.815
235,0.086486697,0.002113938,1641861545,1641861545,0.084389925,2.815
236,0.082892179,0.001750946,1641861546,1641861545,0.081150055,2.815
237,0.081398845,0.002247214,1641861546,1641861546,0.079159975,2.815
238,0.07530272,0.002166867,1641861546,1641861546,0.073140144,2.815
239,0.086138129,0.001934171,1641861546,1641861546,0.084219933,2.815
240,0.07847333,0.002224207,1641861546,1641861546,0.07626009,2.815
241,0.07822907,0.0018152,1641861546,1641861546,0.076430082,2.815
242,0.071987629,0.002013683,1641861546,1641861546,0.06998992,2.815
243,0.072044015,0.002165675,1641861546,1641861546,0.069890022,2.815
244,0.0766747,0.001956224,1641861546,1641861546,0.074729919,2.815
245,0.073804021,0.001953721,1641861546,1641861546,0.071870089,2.815
246,0.078722835,0.00221169,1641861546,1641861546,0.076519966,2.815
247,0.071035862,0.001921892,1641861546,1641861546,0.06911993,2.815
248,0.075579882,0.002131939,1641861546,1641861546,0.073459864,2.815
249,0.074151397,0.002145171,1641861547,1641861546,0.072020054,2.815
250,0.07303524,0.002140999,1641861547,1641861547,0.070909977,2.815
251,0.081080556,0.002163529,1641861547,1641861547,0.07893014,2.815
252,0.081864119,0.001940489,1641861547,1641861547,0.079940081,2.815
253,0.08353591,0.001976252,1641861547,1641861547,0.08156991,2.815
254,0.075875878,0.002176166,1641861547,1641861547,0.073719978,2.815
255,0.07377696,0.002180338,1641861547,1641861547,0.071609974,2.815
256,0.076150775,0.002021909,1641861547,1641861547,0.074140072,2.815
257,0.084343076,0.002050996,1641861547,1641861547,0.082309961,2.815
258,0.076717019,0.002080321,1641861547,1641861547,0.074650049,2.815
259,0.096953034,0.002052903,1641861547,1641861547,0.094909906,2.815
260,0.07266438,0.002035499,1641861547,1641861547,0.070640087,2.815
261,0.072658062,0.002082348,1641861547,1641861547,0.070589781,2.815
262,0.072928429,0.002041101,1641861548,1641861547,0.070899963,2.815
263,0.07923305,0.002103448,1641861548,1641861548,0.077140093,2.815
264,0.07388103,0.002004504,1641861548,1641861548,0.071889877,2.815
265,0.073385954,0.002105713,1641861548,1641861548,0.071290016,2.815
266,0.084761739,0.002040267,1641861548,1641861548,0.082730055,2.815
267,0.072676659,0.001420498,1641861548,1641861548,0.071269989,2.815
268,0.072973967,0.002098083,1641861548,1641861548,0.070879936,2.815
269,0.073012352,0.002105713,1641861548,1641861548,0.070919991,2.815
270,0.073666334,0.002035141,1641861548,1641861548,0.071640015,2.815
271,0.074689627,0.00208807,1641861548,1641861548,0.07261014,2.815
272,0.076043487,0.002110124,1641861548,1641861548,0.073950052,2.815
273,0.0921067,0.002146363,1641861548,1641861548,0.089969873,2.815
274,0.079780221,0.001841187,1641861548,1641861548,0.077950001,2.815
275,0.075117707,0.002241254,1641861548,1641861548,0.072889805,2.815
276,0.074854255,0.00203526,1641861549,1641861548,0.072839975,2.815
277,0.080162883,0.002105594,1641861549,1641861549,0.078070164,2.815
278,0.072125077,0.002031922,1641861549,1641861549,0.070109844,2.815
279,0.073189855,0.001942515,1641861549,1641861549,0.071259975,2.815
280,0.080826879,0.00195992,1641861549,1641861549,0.078880072,2.815
281,0.078897595,0.001985192,1641861549,1641861549,0.076930046,2.815
282,0.080098033,0.002025723,1641861549,1641861549,0.078089952,2.815
283,0.086028337,0.00206852,1641861549,1641861549,0.083979845,2.815
284,0.08535409,0.002017975,1641861549,1641861549,0.083349943,2.815
285,0.073955894,0.002150178,1641861549,1641861549,0.071820021,2.815
286,0.082039475,0.00208652,1641861549,1641861549,0.079969883,2.815
287,0.078076243,0.002094388,1641861549,1641861549,0.075989962,2.815
288,0.074487805,0.002118707,1641861550,1641861549,0.072380066,2.815
289,0.069941044,0.002329826,1641861550,1641861550,0.067620039,2.815
290,0.074561,0.00209105,1641861550,1641861550,0.072479963,2.815
291,0.0885849,0.002075434,1641861550,1641861550,0.086519957,2.815
292,0.07388103,0.001983047,1641861550,1641861550,0.071910143,2.815
293,0.072044969,0.002046943,1641861550,1641861550,0.070009947,2.815
294,0.073967695,0.002043724,1641861550,1641861550,0.071929932,2.815
295,0.077828288,0.00207746,1641861550,1641861550,0.075760126,2.815
296,0.083573699,0.002137542,1641861550,1641861550,0.081449986,2.815
297,0.078275084,0.002179503,1641861550,1641861550,0.076109886,2.815
298,0.07578361,0.002205253,1641861550,1641861550,0.07359004,2.815
299,0.087718129,0.002126575,1641861550,1641861550,0.085600138,2.815
300,0.085518956,0.001972318,1641861550,1641861550,0.08355999,2.815
301,0.09228158,0.002227545,1641861551,1641861550,0.090070009,2.815
302,0.088642955,0.001947761,1641861551,1641861551,0.086709976,2.815
303,0.085657001,0.002168775,1641861551,1641861551,0.083509922,2.815
304,0.086454511,0.002121091,1641861551,1641861551,0.084339857,2.815
305,0.085492611,0.002068996,1641861551,1641861551,0.083429813,2.815
306,0.076822877,0.00208652,1641861551,1641861551,0.074749947,2.815
307,0.08481884,0.002175808,1641861551,1641861551,0.082650185,2.815
308,0.076721311,0.002156138,1641861551,1641861551,0.074570179,2.815
309,0.085670948,0.002085209,1641861551,1641861551,0.083600044,2.815
310,0.074467778,0.002104878,1641861551,1641861551,0.072379827,2.815
311,0.082044482,0.002172112,1641861551,1641861551,0.079890013,2.815
312,0.07329464,0.001975298,1641861551,1641861551,0.071329832,2.815
313,0.074857235,0.002112627,1641861551,1641861551,0.072750092,2.815
314,0.086152792,0.001974106,1641861552,1641861551,0.08419013,2.815
315,0.083884358,0.002101541,1641861552,1641861552,0.081799984,2.815
316,0.07358849,0.002256751,1641861552,1641861552,0.071350098,2.815
317,0.085330129,0.002011657,1641861552,1641861552,0.083340168,2.815
318,0.086481094,0.002152443,1641861552,1641861552,0.084340096,2.815
319,0.084408998,0.002191067,1641861552,1641861552,0.082229853,2.815
320,0.076822877,0.002129674,1641861552,1641861552,0.074699879,2.815
321,0.077155828,0.002148867,1641861552,1641861552,0.075030088,2.815
322,0.080961585,0.002110362,1641861552,1641861552,0.078870058,2.815
323,0.075047374,0.002101541,1641861552,1641861552,0.072950125,2.815
324,0.081682324,0.002115846,1641861552,1641861552,0.07957983,2.815
325,0.086383343,0.004630566,1641861552,1641861552,0.081769943,2.815
326,0.073196888,0.002135038,1641861553,1641861552,0.071069956,2.815
327,0.08547616,0.002142906,1641861553,1641861553,0.08333993,2.815
328,0.089349747,0.002016783,1641861553,1641861553,0.087339878,2.815
329,0.072333336,0.002140999,1641861553,1641861553,0.070199966,2.815
330,0.074758053,0.002213955,1641861553,1641861553,0.072560072,2.815
331,0.07102704,0.002053499,1641861553,1641861553,0.068989992,2.815
332,0.074766517,0.002049088,1641861553,1641861553,0.072730064,2.815
333,0.078315258,0.002057791,1641861553,1641861553,0.076269865,2.815
334,0.084956884,0.002085924,1641861553,1641861553,0.082879782,2.815
335,0.07588768,0.002142668,1641861553,1641861553,0.073750019,2.815
336,0.085988998,0.002122402,1641861553,1641861553,0.083879948,2.815
337,0.074285269,0.002111912,1641861553,1641861553,0.072180033,2.815
338,0.082090616,0.002136946,1641861553,1641861553,0.079969883,2.815
339,0.080467343,0.002122521,1641861554,1641861553,0.078360081,2.815
340,0.073716521,0.00216043,1641861554,1641861554,0.071570158,2.815
341,0.0739851,0.002053976,1641861554,1641861554,0.071939945,2.815
342,0.096083283,0.002066731,1641861554,1641861554,0.094029903,2.815
343,0.07882905,0.002111673,1641861554,1641861554,0.076730013,2.815
344,0.074950218,0.002189398,1641861554,1641861554,0.07276988,2.815
345,0.087405562,0.002027869,1641861554,1641861554,0.085389853,2.815
346,0.076884389,0.002079606,1641861554,1641861554,0.074810028,2.815
347,0.073482633,0.002070308,1641861554,1641861554,0.071419954,2.815
348,0.076825619,0.001895905,1641861554,1641861554,0.074939966,2.815
349,0.084252596,0.002075195,1641861554,1641861554,0.082190037,2.815
350,0.075335622,0.00214231,1641861554,1641861554,0.073199987,2.815
351,0.076977015,0.002270222,1641861554,1641861554,0.074729919,2.815
352,0.086165309,0.002139688,1641861555,1641861554,0.084029913,2.815
353,0.076351166,0.001960754,1641861555,1641861555,0.074400187,2.815
354,0.077439666,0.002050042,1641861555,1641861555,0.075399876,2.815
355,0.073572874,0.001442671,1641861555,1641861555,0.072139978,2.815
356,0.074029446,0.002073288,1641861555,1641861555,0.071959972,2.815
357,0.07520926,0.002102494,1641861555,1641861555,0.073120117,2.815
358,0.076660514,0.002097011,1641861555,1641861555,0.074569941,2.815
359,0.075104475,0.002147436,1641861555,1641861555,0.072969913,2.815
360,0.08700335,0.002035022,1641861555,1641861555,0.084980011,2.815
361,0.075908542,0.002202868,1641861555,1641861555,0.073719978,2.815
362,0.072934866,0.002052069,1641861555,1641861555,0.07088995,2.815
363,0.087759376,0.002108455,1641861555,1641861555,0.085659981,2.815
364,0.077614903,0.002028108,1641861555,1641861555,0.075600147,2.815
365,0.075024843,0.002095222,1641861556,1641861555,0.072939873,2.815
366,0.101558447,0.002040148,1641861556,1641861556,0.099529982,2.815
367,0.074916124,0.002069473,1641861556,1641861556,0.072860003,2.815
368,0.074921608,0.001880169,1641861556,1641861556,0.073059797,2.815
369,0.087169647,0.002081394,1641861556,1641861556,0.085099936,2.815
370,0.084009886,0.002093077,1641861556,1641861556,0.081930161,2.815
371,0.075298309,0.002022982,1641861556,1641861556,0.073280096,2.815
372,0.08658123,0.002098322,1641861556,1641861556,0.084490061,2.815
373,0.085291982,0.002039552,1641861556,1641861556,0.083260059,2.815
374,0.082754493,0.002121806,1641861556,1641861556,0.080640078,2.815
375,0.073964596,0.00224185,1641861556,1641861556,0.071730137,2.815
376,0.070889115,0.00195086,1641861556,1641861556,0.068949938,2.815
377,0.087954283,0.002231836,1641861557,1641861556,0.085730076,2.815
378,0.073566198,0.002122641,1641861557,1641861557,0.071449995,2.815
379,0.085089445,0.002023935,1641861557,1641861557,0.083080053,2.815
380,0.078867435,0.001936913,1641861557,1641861557,0.07694006,2.815
381,0.075564742,0.002071977,1641861557,1641861557,0.073499918,2.815
382,0.073457479,0.002050877,1641861557,1641861557,0.071419954,2.815
383,0.080287576,0.002108455,1641861557,1641861557,0.07818985,2.815
384,0.075629354,0.004861951,1641861557,1641861557,0.070770025,2.815
385,0.072282553,0.00208354,1641861557,1641861557,0.07020998,2.815
386,0.077693582,0.002073646,1641861557,1641861557,0.07562995,2.815
387,0.088522792,0.002051234,1641861557,1641861557,0.086489916,2.815
388,0.099058986,0.002035499,1641861557,1641861557,0.097039938,2.815
389,0.069262266,0.001135349,1641861557,1641861557,0.06814003,2.815
390,0.081498623,0.000524521,1641861558,1641861557,0.080980062,2.815
391,0.0718714,0.00212276,1641861558,1641861558,0.069760084,2.815
392,0.07381022,0.002107024,1641861558,1641861558,0.071709871,2.815
393,0.08452177,0.002072334,1641861558,1641861558,0.082459927,2.815
394,0.078108907,0.002028108,1641861558,1641861558,0.076100111,2.815
395,0.073641062,0.00204587,1641861558,1641861558,0.071600199,2.815
396,0.071995616,0.002036691,1641861558,1641861558,0.069969893,2.815
397,0.084176898,0.001936316,1641861558,1641861558,0.082250118,2.815
398,0.08494246,0.001958489,1641861558,1641861558,0.082989931,2.815
399,0.076353431,0.002125621,1641861558,1641861558,0.074229956,2.815
400,0.072016358,0.0021559,1641861558,1641861558,0.069869995,2.815
401,0.084588766,0.001936197,1641861558,1641861558,0.082669973,2.815
402,0.077915311,0.002172351,1641861558,1641861558,0.075749874,2.815
403,0.071999192,0.002126813,1641861559,1641861558,0.069880009,2.815
404,0.087962031,0.002130628,1641861559,1641861559,0.085839987,2.815
405,0.075089335,0.001922011,1641861559,1641861559,0.073180199,2.815
406,0.074497819,0.002039313,1641861559,1641861559,0.07246995,2.815
407,0.071836591,0.0021137,1641861559,1641861559,0.069740057,2.815
408,0.089237094,0.002078414,1641861559,1641861559,0.087169886,2.815
409,0.07210815,0.002053618,1641861559,1641861559,0.070060015,2.815
410,0.072901487,0.002064228,1641861559,1641861559,0.070850134,2.815
